RuleSet,,,org.example.rules
GOLD,A1832,Tuberculous enteritis,TRUE
GOLD,A1839,Retroperitoneal tuberculosis,TRUE
GOLD,A184,Tuberculosis of skin and subcutaneous tissue,TRUE
GOLD,A1850,"Tuberculosis of eye, unspecified",TRUE
GOLD,A1851,Tuberculous episcleritis,TRUE
GOLD,A1852,Tuberculous keratitis,TRUE
GOLD,A1853,Tuberculous chorioretinitis,TRUE
GOLD,A1854,Tuberculous iridocyclitis,TRUE
GOLD,A1859,Other tuberculosis of eye,TRUE
GOLD,A186,Tuberculosis of (inner) (middle) ear,TRUE
GOLD,A187,Tuberculosis of adrenal glands,TRUE
GOLD,A1881,Tuberculosis of thyroid gland,TRUE
GOLD,A1882,Tuberculosis of other endocrine glands,TRUE
GOLD,A1883,"Tuberculosis of digestive tract organs, not elsewhere classified",TRUE
GOLD,A1884,Tuberculosis of heart,TRUE
GOLD,A1885,Tuberculosis of spleen,TRUE
GOLD,A1889,Tuberculosis of other sites,TRUE
GOLD,A190,Acute miliary tuberculosis of a single specified site,TRUE
GOLD,A191,Acute miliary tuberculosis of multiple sites,TRUE
GOLD,A192,"Acute miliary tuberculosis, unspecified",TRUE
GOLD,A198,Other miliary tuberculosis,TRUE
GOLD,A199,"Miliary tuberculosis, unspecified",TRUE
GOLD,A200,Bubonic plague,TRUE
GOLD,A201,Cellulocutaneous plague,TRUE
GOLD,A202,Pneumonic plague,TRUE
GOLD,A203,Plague meningitis,TRUE
GOLD,A207,Septicemic plague,TRUE
GOLD,A208,Other forms of plague,TRUE
GOLD,A209,"Plague, unspecified",TRUE
GOLD,A210,Ulceroglandular tularemia,TRUE
GOLD,A211,Oculoglandular tularemia,TRUE
GOLD,A212,Pulmonary tularemia,TRUE
GOLD,A213,Gastrointestinal tularemia,TRUE
GOLD,A217,Generalized tularemia,TRUE
GOLD,A218,Other forms of tularemia,TRUE
GOLD,A219,"Tularemia, unspecified",TRUE
GOLD,A220,Cutaneous anthrax,TRUE
GOLD,A221,Pulmonary anthrax,TRUE
GOLD,A222,Gastrointestinal anthrax,TRUE
GOLD,A227,Anthrax sepsis,TRUE
GOLD,A228,Other forms of anthrax,TRUE
GOLD,A229,"Anthrax, unspecified",TRUE
GOLD,A230,Brucellosis due to Brucella melitensis,TRUE
GOLD,A231,Brucellosis due to Brucella abortus,TRUE
GOLD,A232,Brucellosis due to Brucella suis,TRUE
GOLD,A233,Brucellosis due to Brucella canis,TRUE
GOLD,A238,Other brucellosis,TRUE
GOLD,A239,"Brucellosis, unspecified",TRUE
GOLD,A240,Glanders,TRUE
GOLD,A241,Acute and fulminating melioidosis,TRUE
GOLD,A242,Subacute and chronic melioidosis,TRUE
GOLD,A243,Other melioidosis,TRUE
GOLD,A249,"Melioidosis, unspecified",TRUE
GOLD,A250,Spirillosis,TRUE
GOLD,A251,Streptobacillosis,TRUE
GOLD,A259,"Rat-bite fever, unspecified",TRUE
GOLD,A260,Cutaneous erysipeloid,TRUE
GOLD,A267,Erysipelothrix sepsis,TRUE
GOLD,A268,Other forms of erysipeloid,TRUE
GOLD,A269,"Erysipeloid, unspecified",TRUE
GOLD,A270,Leptospirosis icterohemorrhagica,TRUE
GOLD,A2781,Aseptic meningitis in leptospirosis,TRUE
GOLD,A2789,Other forms of leptospirosis,TRUE
GOLD,A279,"Leptospirosis, unspecified",TRUE
GOLD,A280,Pasteurellosis,TRUE
GOLD,A281,Cat-scratch disease,TRUE
GOLD,A282,Extraintestinal yersiniosis,TRUE
GOLD,A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",TRUE
GOLD,A289,"Zoonotic bacterial disease, unspecified",TRUE
GOLD,A300,Indeterminate leprosy,TRUE
GOLD,A301,Tuberculoid leprosy,TRUE
GOLD,A302,Borderline tuberculoid leprosy,TRUE
GOLD,A303,Borderline leprosy,TRUE
GOLD,A304,Borderline lepromatous leprosy,TRUE
GOLD,A305,Lepromatous leprosy,TRUE
GOLD,A308,Other forms of leprosy,TRUE
GOLD,A309,"Leprosy, unspecified",TRUE
GOLD,A310,Pulmonary mycobacterial infection,TRUE
GOLD,A311,Cutaneous mycobacterial infection,TRUE
GOLD,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),TRUE
GOLD,A318,Other mycobacterial infections,TRUE
GOLD,A319,"Mycobacterial infection, unspecified",TRUE
GOLD,A320,Cutaneous listeriosis,TRUE
GOLD,A3211,Listerial meningitis,TRUE
GOLD,A3212,Listerial meningoencephalitis,TRUE
GOLD,A327,Listerial sepsis,TRUE
GOLD,A3281,Oculoglandular listeriosis,TRUE
GOLD,A3282,Listerial endocarditis,TRUE
GOLD,A3289,Other forms of listeriosis,TRUE
GOLD,A329,"Listeriosis, unspecified",TRUE
GOLD,A33,Tetanus neonatorum,TRUE
GOLD,A34,Obstetrical tetanus,TRUE
GOLD,A35,Other tetanus,TRUE
GOLD,A360,Pharyngeal diphtheria,TRUE
GOLD,A361,Nasopharyngeal diphtheria,TRUE
