RuleSet,,,org.example.rules
GOLD,F1624,Hallucinogen dependence with hallucinogen-induced mood disorder,FALSE
GOLD,F16250,Hallucinogen dependence with hallucinogen-induced psychotic disorder with delusions,FALSE
GOLD,F16251,Hallucinogen dependence with hallucinogen-induced psychotic disorder with hallucinations,FALSE
GOLD,F16259,"Hallucinogen dependence with hallucinogen-induced psychotic disorder, unspecified",FALSE
GOLD,F16280,Hallucinogen dependence with hallucinogen-induced anxiety disorder,FALSE
GOLD,F16283,Hallucinogen dependence with hallucinogen persisting perception disorder (flashbacks),FALSE
GOLD,F16288,Hallucinogen dependence with other hallucinogen-induced disorder,FALSE
GOLD,F1629,Hallucinogen dependence with unspecified hallucinogen-induced disorder,FALSE
GOLD,F1690,"Hallucinogen use, unspecified, uncomplicated",FALSE
GOLD,F16920,"Hallucinogen use, unspecified with intoxication, uncomplicated",FALSE
GOLD,F16921,"Hallucinogen use, unspecified with intoxication with delirium",FALSE
GOLD,F16929,"Hallucinogen use, unspecified with intoxication, unspecified",FALSE
GOLD,F1694,"Hallucinogen use, unspecified with hallucinogen-induced mood disorder",FALSE
GOLD,F16950,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with delusions",FALSE
GOLD,F16951,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder with hallucinations",FALSE
GOLD,F16959,"Hallucinogen use, unspecified with hallucinogen-induced psychotic disorder, unspecified",FALSE
GOLD,F16980,"Hallucinogen use, unspecified with hallucinogen-induced anxiety disorder",FALSE
GOLD,F16983,"Hallucinogen use, unspecified with hallucinogen persisting perception disorder (flashbacks)",FALSE
GOLD,F16988,"Hallucinogen use, unspecified with other hallucinogen-induced disorder",FALSE
GOLD,F1699,"Hallucinogen use, unspecified with unspecified hallucinogen-induced disorder",FALSE
GOLD,F17200,"Nicotine dependence, unspecified, uncomplicated",FALSE
GOLD,F17201,"Nicotine dependence, unspecified, in remission",FALSE
GOLD,F17203,"Nicotine dependence unspecified, with withdrawal",FALSE
GOLD,F17208,"Nicotine dependence, unspecified, with other nicotine-induced disorders",FALSE
GOLD,F17209,"Nicotine dependence, unspecified, with unspecified nicotine-induced disorders",FALSE
GOLD,F17210,"Nicotine dependence, cigarettes, uncomplicated",FALSE
GOLD,F17211,"Nicotine dependence, cigarettes, in remission",FALSE
GOLD,F17213,"Nicotine dependence, cigarettes, with withdrawal",FALSE
GOLD,F17218,"Nicotine dependence, cigarettes, with other nicotine-induced disorders",FALSE
GOLD,F17219,"Nicotine dependence, cigarettes, with unspecified nicotine-induced disorders",FALSE
GOLD,F17220,"Nicotine dependence, chewing tobacco, uncomplicated",FALSE
GOLD,F17221,"Nicotine dependence, chewing tobacco, in remission",FALSE
GOLD,F17223,"Nicotine dependence, chewing tobacco, with withdrawal",FALSE
GOLD,F17228,"Nicotine dependence, chewing tobacco, with other nicotine-induced disorders",FALSE
GOLD,F17229,"Nicotine dependence, chewing tobacco, with unspecified nicotine-induced disorders",FALSE
GOLD,F17290,"Nicotine dependence, other tobacco product, uncomplicated",FALSE
GOLD,F17291,"Nicotine dependence, other tobacco product, in remission",FALSE
GOLD,F17293,"Nicotine dependence, other tobacco product, with withdrawal",FALSE
GOLD,F17298,"Nicotine dependence, other tobacco product, with other nicotine-induced disorders",FALSE
GOLD,F17299,"Nicotine dependence, other tobacco product, with unspecified nicotine-induced disorders",FALSE
GOLD,F1810,"Inhalant abuse, uncomplicated",FALSE
GOLD,F1811,"Inhalant abuse, in remission",FALSE
GOLD,F18120,"Inhalant abuse with intoxication, uncomplicated",FALSE
GOLD,F18121,Inhalant abuse with intoxication delirium,FALSE
GOLD,F18129,"Inhalant abuse with intoxication, unspecified",FALSE
GOLD,F1814,Inhalant abuse with inhalant-induced mood disorder,FALSE
GOLD,F18150,Inhalant abuse with inhalant-induced psychotic disorder with delusions,FALSE
GOLD,F18151,Inhalant abuse with inhalant-induced psychotic disorder with hallucinations,FALSE
GOLD,F18159,"Inhalant abuse with inhalant-induced psychotic disorder, unspecified",FALSE
GOLD,F1817,Inhalant abuse with inhalant-induced dementia,FALSE
GOLD,F18180,Inhalant abuse with inhalant-induced anxiety disorder,FALSE
GOLD,F18188,Inhalant abuse with other inhalant-induced disorder,FALSE
GOLD,F1819,Inhalant abuse with unspecified inhalant-induced disorder,FALSE
GOLD,F1820,"Inhalant dependence, uncomplicated",FALSE
GOLD,F1821,"Inhalant dependence, in remission",FALSE
GOLD,F18220,"Inhalant dependence with intoxication, uncomplicated",FALSE
GOLD,F18221,Inhalant dependence with intoxication delirium,FALSE
GOLD,F18229,"Inhalant dependence with intoxication, unspecified",FALSE
GOLD,F1824,Inhalant dependence with inhalant-induced mood disorder,FALSE
GOLD,F18250,Inhalant dependence with inhalant-induced psychotic disorder with delusions,FALSE
GOLD,F18251,Inhalant dependence with inhalant-induced psychotic disorder with hallucinations,FALSE
GOLD,F18259,"Inhalant dependence with inhalant-induced psychotic disorder, unspecified",FALSE
GOLD,F1827,Inhalant dependence with inhalant-induced dementia,FALSE
GOLD,F18280,Inhalant dependence with inhalant-induced anxiety disorder,FALSE
GOLD,F18288,Inhalant dependence with other inhalant-induced disorder,FALSE
GOLD,F1829,Inhalant dependence with unspecified inhalant-induced disorder,FALSE
GOLD,F1890,"Inhalant use, unspecified, uncomplicated",FALSE
GOLD,F18920,"Inhalant use, unspecified with intoxication, uncomplicated",FALSE
GOLD,F18921,"Inhalant use, unspecified with intoxication with delirium",FALSE
GOLD,F18929,"Inhalant use, unspecified with intoxication, unspecified",FALSE
GOLD,F1894,"Inhalant use, unspecified with inhalant-induced mood disorder",FALSE
GOLD,F18950,"Inhalant use, unspecified with inhalant-induced psychotic disorder with delusions",FALSE
GOLD,F18951,"Inhalant use, unspecified with inhalant-induced psychotic disorder with hallucinations",FALSE
GOLD,F18959,"Inhalant use, unspecified with inhalant-induced psychotic disorder, unspecified",FALSE
GOLD,F1897,"Inhalant use, unspecified with inhalant-induced persisting dementia",FALSE
GOLD,F18980,"Inhalant use, unspecified with inhalant-induced anxiety disorder",FALSE
GOLD,F18988,"Inhalant use, unspecified with other inhalant-induced disorder",FALSE
GOLD,F1899,"Inhalant use, unspecified with unspecified inhalant-induced disorder",FALSE
GOLD,F1910,"Other psychoactive substance abuse, uncomplicated",FALSE
GOLD,F1911,"Other psychoactive substance abuse, in remission",FALSE
GOLD,F19120,"Other psychoactive substance abuse with intoxication, uncomplicated",FALSE
GOLD,F19121,Other psychoactive substance abuse with intoxication delirium,FALSE
GOLD,F19122,Other psychoactive substance abuse with intoxication with perceptual disturbances,FALSE
GOLD,F19129,"Other psychoactive substance abuse with intoxication, unspecified",FALSE
GOLD,F1914,Other psychoactive substance abuse with psychoactive substance-induced mood disorder,FALSE
GOLD,F19150,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with delusions,FALSE
GOLD,F19151,Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder with hallucinations,FALSE
GOLD,F19159,"Other psychoactive substance abuse with psychoactive substance-induced psychotic disorder, unspecified",FALSE
GOLD,F1916,Other psychoactive substance abuse with psychoactive substance-induced persisting amnestic disorder,FALSE
GOLD,F1917,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,FALSE
GOLD,F19180,Other psychoactive substance abuse with psychoactive substance-induced anxiety disorder,FALSE
GOLD,F19181,Other psychoactive substance abuse with psychoactive substance-induced sexual dysfunction,FALSE
GOLD,F19182,Other psychoactive substance abuse with psychoactive substance-induced sleep disorder,FALSE
GOLD,F19188,Other psychoactive substance abuse with other psychoactive substance-induced disorder,FALSE
GOLD,F1919,Other psychoactive substance abuse with unspecified psychoactive substance-induced disorder,FALSE
GOLD,F1920,"Other psychoactive substance dependence, uncomplicated",FALSE
GOLD,F1921,"Other psychoactive substance dependence, in remission",FALSE
GOLD,F19220,"Other psychoactive substance dependence with intoxication, uncomplicated",FALSE
GOLD,F19221,Other psychoactive substance dependence with intoxication delirium,FALSE
GOLD,F19222,Other psychoactive substance dependence with intoxication with perceptual disturbance,FALSE
GOLD,F19229,"Other psychoactive substance dependence with intoxication, unspecified",FALSE
GOLD,F19230,"Other psychoactive substance dependence with withdrawal, uncomplicated",FALSE
GOLD,F19231,Other psychoactive substance dependence with withdrawal delirium,FALSE
GOLD,F19232,Other psychoactive substance dependence with withdrawal with perceptual disturbance,FALSE
GOLD,F19239,"Other psychoactive substance dependence with withdrawal, unspecified",FALSE
GOLD,F1924,Other psychoactive substance dependence with psychoactive substance-induced mood disorder,FALSE
GOLD,F19250,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with delusions,FALSE
GOLD,F19251,Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder with hallucinations,FALSE
GOLD,F19259,"Other psychoactive substance dependence with psychoactive substance-induced psychotic disorder, unspecified",FALSE
GOLD,F1926,Other psychoactive substance dependence with psychoactive substance-induced persisting amnestic disorder,FALSE
GOLD,F1927,Other psychoactive substance dependence with psychoactive substance-induced persisting dementia,FALSE
GOLD,F19280,Other psychoactive substance dependence with psychoactive substance-induced anxiety disorder,FALSE
GOLD,F19281,Other psychoactive substance dependence with psychoactive substance-induced sexual dysfunction,FALSE
GOLD,F19282,Other psychoactive substance dependence with psychoactive substance-induced sleep disorder,FALSE
GOLD,F19288,Other psychoactive substance dependence with other psychoactive substance-induced disorder,FALSE
GOLD,F1929,Other psychoactive substance dependence with unspecified psychoactive substance-induced disorder,FALSE
GOLD,F1990,"Other psychoactive substance use, unspecified, uncomplicated",FALSE
GOLD,F19920,"Other psychoactive substance use, unspecified with intoxication, uncomplicated",FALSE
GOLD,F19921,"Other psychoactive substance use, unspecified with intoxication with delirium",FALSE
GOLD,F19922,"Other psychoactive substance use, unspecified with intoxication with perceptual disturbance",FALSE
GOLD,F19929,"Other psychoactive substance use, unspecified with intoxication, unspecified",FALSE
GOLD,F19930,"Other psychoactive substance use, unspecified with withdrawal, uncomplicated",FALSE
GOLD,F19931,"Other psychoactive substance use, unspecified with withdrawal delirium",FALSE
GOLD,F19932,"Other psychoactive substance use, unspecified with withdrawal with perceptual disturbance",FALSE
GOLD,F19939,"Other psychoactive substance use, unspecified with withdrawal, unspecified",FALSE
GOLD,F1994,"Other psychoactive substance use, unspecified with psychoactive substance-induced mood disorder",FALSE
GOLD,F19950,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with delusions",FALSE
GOLD,F19951,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder with hallucinations",FALSE
GOLD,F19959,"Other psychoactive substance use, unspecified with psychoactive substance-induced psychotic disorder, unspecified",FALSE
GOLD,F1996,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting amnestic disorder",FALSE
GOLD,F1997,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia",FALSE
GOLD,F19980,"Other psychoactive substance use, unspecified with psychoactive substance-induced anxiety disorder",FALSE
GOLD,F19981,"Other psychoactive substance use, unspecified with psychoactive substance-induced sexual dysfunction",FALSE
GOLD,F19982,"Other psychoactive substance use, unspecified with psychoactive substance-induced sleep disorder",FALSE
GOLD,F19988,"Other psychoactive substance use, unspecified with other psychoactive substance-induced disorder",FALSE
GOLD,F1999,"Other psychoactive substance use, unspecified with unspecified psychoactive substance-induced disorder",FALSE
GOLD,F200,Paranoid schizophrenia,FALSE
GOLD,F201,Disorganized schizophrenia,FALSE
GOLD,F202,Catatonic schizophrenia,FALSE
GOLD,F203,Undifferentiated schizophrenia,FALSE
GOLD,F205,Residual schizophrenia,FALSE
GOLD,F2081,Schizophreniform disorder,FALSE
GOLD,F2089,Other schizophrenia,FALSE
GOLD,F209,"Schizophrenia, unspecified",FALSE
GOLD,F21,Schizotypal disorder,FALSE
GOLD,F22,Delusional disorders,FALSE
GOLD,F23,Brief psychotic disorder,FALSE
GOLD,F24,Shared psychotic disorder,FALSE
GOLD,F250,"Schizoaffective disorder, bipolar type",FALSE
GOLD,F251,"Schizoaffective disorder, depressive type",FALSE
GOLD,F258,Other schizoaffective disorders,FALSE
GOLD,F259,"Schizoaffective disorder, unspecified",FALSE
GOLD,F28,Other psychotic disorder not due to a substance or known physiological condition,FALSE
GOLD,F29,Unspecified psychosis not due to a substance or known physiological condition,FALSE
GOLD,F3010,"Manic episode without psychotic symptoms, unspecified",FALSE
GOLD,F3011,"Manic episode without psychotic symptoms, mild",FALSE
GOLD,F3012,"Manic episode without psychotic symptoms, moderate",FALSE
GOLD,F3013,"Manic episode, severe, without psychotic symptoms",FALSE
GOLD,F302,"Manic episode, severe with psychotic symptoms",FALSE
GOLD,F303,Manic episode in partial remission,FALSE
GOLD,F304,Manic episode in full remission,FALSE
GOLD,F308,Other manic episodes,FALSE
GOLD,F309,"Manic episode, unspecified",FALSE
GOLD,F310,"Bipolar disorder, current episode hypomanic",FALSE
GOLD,F3110,"Bipolar disorder, current episode manic without psychotic features, unspecified",FALSE
GOLD,F3111,"Bipolar disorder, current episode manic without psychotic features, mild",FALSE
GOLD,F3112,"Bipolar disorder, current episode manic without psychotic features, moderate",FALSE
GOLD,F3113,"Bipolar disorder, current episode manic without psychotic features, severe",FALSE
GOLD,F312,"Bipolar disorder, current episode manic severe with psychotic features",FALSE
GOLD,F3130,"Bipolar disorder, current episode depressed, mild or moderate severity, unspecified",FALSE
GOLD,F3131,"Bipolar disorder, current episode depressed, mild",FALSE
GOLD,F3132,"Bipolar disorder, current episode depressed, moderate",FALSE
GOLD,F314,"Bipolar disorder, current episode depressed, severe, without psychotic features",FALSE
GOLD,F315,"Bipolar disorder, current episode depressed, severe, with psychotic features",FALSE
GOLD,F3160,"Bipolar disorder, current episode mixed, unspecified",FALSE
GOLD,F3161,"Bipolar disorder, current episode mixed, mild",FALSE
GOLD,F3162,"Bipolar disorder, current episode mixed, moderate",FALSE
GOLD,F3163,"Bipolar disorder, current episode mixed, severe, without psychotic features",FALSE
GOLD,F3164,"Bipolar disorder, current episode mixed, severe, with psychotic features",FALSE
GOLD,F3170,"Bipolar disorder, currently in remission, most recent episode unspecified",FALSE
GOLD,F3171,"Bipolar disorder, in partial remission, most recent episode hypomanic",FALSE
GOLD,F3172,"Bipolar disorder, in full remission, most recent episode hypomanic",FALSE
GOLD,F3173,"Bipolar disorder, in partial remission, most recent episode manic",FALSE
GOLD,F3174,"Bipolar disorder, in full remission, most recent episode manic",FALSE
GOLD,F3175,"Bipolar disorder, in partial remission, most recent episode depressed",FALSE
GOLD,F3176,"Bipolar disorder, in full remission, most recent episode depressed",FALSE
GOLD,F3177,"Bipolar disorder, in partial remission, most recent episode mixed",FALSE
GOLD,F3178,"Bipolar disorder, in full remission, most recent episode mixed",FALSE
GOLD,F3181,Bipolar II disorder,FALSE
GOLD,F3189,Other bipolar disorder,FALSE
GOLD,F319,"Bipolar disorder, unspecified",FALSE
GOLD,F320,"Major depressive disorder, single episode, mild",FALSE
GOLD,F321,"Major depressive disorder, single episode, moderate",FALSE
GOLD,F322,"Major depressive disorder, single episode, severe without psychotic features",FALSE
GOLD,F323,"Major depressive disorder, single episode, severe with psychotic features",FALSE
GOLD,F324,"Major depressive disorder, single episode, in partial remission",FALSE
GOLD,F325,"Major depressive disorder, single episode, in full remission",FALSE
GOLD,F3281,Premenstrual dysphoric disorder,FALSE
GOLD,F3289,Other specified depressive episodes,FALSE
GOLD,F329,"Major depressive disorder, single episode, unspecified",FALSE
GOLD,F330,"Major depressive disorder, recurrent, mild",FALSE
GOLD,F331,"Major depressive disorder, recurrent, moderate",FALSE
GOLD,F332,"Major depressive disorder, recurrent severe without psychotic features",FALSE
GOLD,F333,"Major depressive disorder, recurrent, severe with psychotic symptoms",FALSE
GOLD,F3340,"Major depressive disorder, recurrent, in remission, unspecified",FALSE
GOLD,F3341,"Major depressive disorder, recurrent, in partial remission",FALSE
GOLD,F3342,"Major depressive disorder, recurrent, in full remission",FALSE
GOLD,F338,Other recurrent depressive disorders,FALSE
GOLD,F339,"Major depressive disorder, recurrent, unspecified",FALSE
GOLD,F340,Cyclothymic disorder,FALSE
GOLD,F341,Dysthymic disorder,FALSE
GOLD,F3481,Disruptive mood dysregulation disorder,FALSE
GOLD,F3489,Other specified persistent mood disorders,FALSE
GOLD,F349,"Persistent mood [affective] disorder, unspecified",FALSE
GOLD,F39,Unspecified mood [affective] disorder,FALSE
GOLD,F4000,"Agoraphobia, unspecified",FALSE
GOLD,F4001,Agoraphobia with panic disorder,FALSE
GOLD,F4002,Agoraphobia without panic disorder,FALSE
GOLD,F4010,"Social phobia, unspecified",FALSE
GOLD,F4011,"Social phobia, generalized",FALSE
GOLD,F40210,Arachnophobia,FALSE
GOLD,F40218,Other animal type phobia,FALSE
GOLD,F40220,Fear of thunderstorms,FALSE
GOLD,F40228,Other natural environment type phobia,FALSE
GOLD,F40230,Fear of blood,FALSE
GOLD,F40231,Fear of injections and transfusions,FALSE
GOLD,F40232,Fear of other medical care,FALSE
GOLD,F40233,Fear of injury,FALSE
GOLD,F40240,Claustrophobia,FALSE
GOLD,F40241,Acrophobia,FALSE
GOLD,F40242,Fear of bridges,FALSE
GOLD,F40243,Fear of flying,FALSE
GOLD,F40248,Other situational type phobia,FALSE
GOLD,F40290,Androphobia,FALSE
GOLD,F40291,Gynephobia,FALSE
GOLD,F40298,Other specified phobia,FALSE
GOLD,F408,Other phobic anxiety disorders,FALSE
GOLD,F409,"Phobic anxiety disorder, unspecified",FALSE
GOLD,F410,Panic disorder [episodic paroxysmal anxiety],FALSE
GOLD,F411,Generalized anxiety disorder,FALSE
GOLD,F413,Other mixed anxiety disorders,FALSE
GOLD,F418,Other specified anxiety disorders,FALSE
GOLD,F419,"Anxiety disorder, unspecified",FALSE
GOLD,F422,Mixed obsessional thoughts and acts,FALSE
GOLD,F423,Hoarding disorder,FALSE
GOLD,F424,Excoriation (skin-picking) disorder,FALSE
GOLD,F428,Other obsessive-compulsive disorder,FALSE
GOLD,F429,"Obsessive-compulsive disorder, unspecified",FALSE
GOLD,F430,Acute stress reaction,FALSE
GOLD,F4310,"Post-traumatic stress disorder, unspecified",FALSE
GOLD,F4311,"Post-traumatic stress disorder, acute",FALSE
GOLD,F4312,"Post-traumatic stress disorder, chronic",FALSE
GOLD,F4320,"Adjustment disorder, unspecified",FALSE
GOLD,F4321,Adjustment disorder with depressed mood,FALSE
GOLD,F4322,Adjustment disorder with anxiety,FALSE
GOLD,F4323,Adjustment disorder with mixed anxiety and depressed mood,FALSE
GOLD,F4324,Adjustment disorder with disturbance of conduct,FALSE
GOLD,F4325,Adjustment disorder with mixed disturbance of emotions and conduct,FALSE
GOLD,F4329,Adjustment disorder with other symptoms,FALSE
GOLD,F438,Other reactions to severe stress,FALSE
GOLD,F439,"Reaction to severe stress, unspecified",FALSE
GOLD,F440,Dissociative amnesia,FALSE
GOLD,F441,Dissociative fugue,FALSE
GOLD,F442,Dissociative stupor,FALSE
GOLD,F444,Conversion disorder with motor symptom or deficit,FALSE
GOLD,F445,Conversion disorder with seizures or convulsions,FALSE
GOLD,F446,Conversion disorder with sensory symptom or deficit,FALSE
GOLD,F447,Conversion disorder with mixed symptom presentation,FALSE
GOLD,F4481,Dissociative identity disorder,FALSE
GOLD,F4489,Other dissociative and conversion disorders,FALSE
GOLD,F449,"Dissociative and conversion disorder, unspecified",FALSE
GOLD,F450,Somatization disorder,FALSE
GOLD,F451,Undifferentiated somatoform disorder,FALSE
GOLD,F4520,"Hypochondriacal disorder, unspecified",FALSE
GOLD,F4521,Hypochondriasis,FALSE
GOLD,F4522,Body dysmorphic disorder,FALSE
GOLD,F4529,Other hypochondriacal disorders,FALSE
GOLD,F4541,Pain disorder exclusively related to psychological factors,FALSE
GOLD,F4542,Pain disorder with related psychological factors,FALSE
GOLD,F458,Other somatoform disorders,FALSE
GOLD,F459,"Somatoform disorder, unspecified",FALSE
GOLD,F481,Depersonalization-derealization syndrome,FALSE
GOLD,F482,Pseudobulbar affect,FALSE
GOLD,F488,Other specified nonpsychotic mental disorders,FALSE
GOLD,F489,"Nonpsychotic mental disorder, unspecified",FALSE
GOLD,F5000,"Anorexia nervosa, unspecified",FALSE
GOLD,F5001,"Anorexia nervosa, restricting type",FALSE
GOLD,F5002,"Anorexia nervosa, binge eating/purging type",FALSE
GOLD,F502,Bulimia nervosa,FALSE
GOLD,F5081,Binge eating disorder,FALSE
GOLD,F5082,Avoidant/restrictive food intake disorder,FALSE
GOLD,F5089,Other specified eating disorder,FALSE
GOLD,F509,"Eating disorder, unspecified",FALSE
GOLD,F5101,Primary insomnia,FALSE
GOLD,F5102,Adjustment insomnia,FALSE
GOLD,F5103,Paradoxical insomnia,FALSE
GOLD,F5104,Psychophysiologic insomnia,FALSE
GOLD,F5105,Insomnia due to other mental disorder,FALSE
GOLD,F5109,Other insomnia not due to a substance or known physiological condition,FALSE
GOLD,F5111,Primary hypersomnia,FALSE
GOLD,F5112,Insufficient sleep syndrome,FALSE
GOLD,F5113,Hypersomnia due to other mental disorder,FALSE
GOLD,F5119,Other hypersomnia not due to a substance or known physiological condition,FALSE
GOLD,F513,Sleepwalking [somnambulism],FALSE
GOLD,F514,Sleep terrors [night terrors],FALSE
GOLD,F515,Nightmare disorder,FALSE
GOLD,F518,Other sleep disorders not due to a substance or known physiological condition,FALSE
GOLD,F519,"Sleep disorder not due to a substance or known physiological condition, unspecified",FALSE
GOLD,F520,Hypoactive sexual desire disorder,FALSE
GOLD,F521,Sexual aversion disorder,FALSE
GOLD,F5221,Male erectile disorder,FALSE
GOLD,F5222,Female sexual arousal disorder,FALSE
GOLD,F5231,Female orgasmic disorder,FALSE
GOLD,F5232,Male orgasmic disorder,FALSE
GOLD,F524,Premature ejaculation,FALSE
GOLD,F525,Vaginismus not due to a substance or known physiological condition,FALSE
GOLD,F526,Dyspareunia not due to a substance or known physiological condition,FALSE
GOLD,F528,Other sexual dysfunction not due to a substance or known physiological condition,FALSE
GOLD,F529,Unspecified sexual dysfunction not due to a substance or known physiological condition,FALSE
GOLD,F530,Postpartum depression,FALSE
GOLD,F531,Puerperal psychosis,FALSE
GOLD,F54,Psychological and behavioral factors associated with disorders or diseases classified elsewhere,FALSE
GOLD,F550,Abuse of antacids,FALSE
GOLD,F551,Abuse of herbal or folk remedies,FALSE
GOLD,F552,Abuse of laxatives,FALSE
GOLD,F553,Abuse of steroids or hormones,FALSE
GOLD,F554,Abuse of vitamins,FALSE
GOLD,F558,Abuse of other non-psychoactive substances,FALSE
GOLD,F59,Unspecified behavioral syndromes associated with physiological disturbances and physical factors,FALSE
GOLD,F600,Paranoid personality disorder,FALSE
GOLD,F601,Schizoid personality disorder,FALSE
GOLD,F602,Antisocial personality disorder,FALSE
GOLD,F603,Borderline personality disorder,FALSE
GOLD,F604,Histrionic personality disorder,FALSE
GOLD,F605,Obsessive-compulsive personality disorder,FALSE
GOLD,F606,Avoidant personality disorder,FALSE
GOLD,F607,Dependent personality disorder,FALSE
GOLD,F6081,Narcissistic personality disorder,FALSE
GOLD,F6089,Other specific personality disorders,FALSE
GOLD,F609,"Personality disorder, unspecified",FALSE
GOLD,F630,Pathological gambling,FALSE
GOLD,F631,Pyromania,FALSE
GOLD,F632,Kleptomania,FALSE
GOLD,F633,Trichotillomania,FALSE
GOLD,F6381,Intermittent explosive disorder,FALSE
GOLD,F6389,Other impulse disorders,FALSE
GOLD,F639,"Impulse disorder, unspecified",FALSE
GOLD,F640,Transsexualism,FALSE
GOLD,F641,Dual role transvestism,FALSE
GOLD,F642,Gender identity disorder of childhood,FALSE
GOLD,F648,Other gender identity disorders,FALSE
GOLD,F649,"Gender identity disorder, unspecified",FALSE
GOLD,F650,Fetishism,FALSE
GOLD,F651,Transvestic fetishism,FALSE
GOLD,F652,Exhibitionism,FALSE
GOLD,F653,Voyeurism,FALSE
GOLD,F654,Pedophilia,FALSE
GOLD,F6550,"Sadomasochism, unspecified",FALSE
GOLD,F6551,Sexual masochism,FALSE
GOLD,F6552,Sexual sadism,FALSE
GOLD,F6581,Frotteurism,FALSE
GOLD,F6589,Other paraphilias,FALSE
GOLD,F659,"Paraphilia, unspecified",FALSE
GOLD,F66,Other sexual disorders,FALSE
GOLD,F6810,"Factitious disorder imposed on self, unspecified",FALSE
GOLD,F6811,"Factitious disorder imposed on self, with predominantly psychological signs and symptoms",FALSE
GOLD,F6812,"Factitious disorder imposed on self, with predominantly physical signs and symptoms",FALSE
GOLD,F6813,"Factitious disorder imposed on self, with combined psychological and physical signs and symptoms",FALSE
GOLD,F68A,Factitious disorder imposed on another,FALSE
GOLD,F688,Other specified disorders of adult personality and behavior,FALSE
GOLD,F69,Unspecified disorder of adult personality and behavior,FALSE
GOLD,F70,Mild intellectual disabilities,FALSE
GOLD,F71,Moderate intellectual disabilities,FALSE
GOLD,F72,Severe intellectual disabilities,FALSE
GOLD,F73,Profound intellectual disabilities,FALSE
GOLD,F78,Other intellectual disabilities,FALSE
GOLD,F79,Unspecified intellectual disabilities,FALSE
GOLD,F800,Phonological disorder,FALSE
GOLD,F801,Expressive language disorder,FALSE
GOLD,F802,Mixed receptive-expressive language disorder,FALSE
GOLD,F804,Speech and language development delay due to hearing loss,FALSE
GOLD,F8081,Childhood onset fluency disorder,FALSE
GOLD,F8082,Social pragmatic communication disorder,FALSE
GOLD,F8089,Other developmental disorders of speech and language,FALSE
GOLD,F809,"Developmental disorder of speech and language, unspecified",FALSE
GOLD,F810,Specific reading disorder,FALSE
GOLD,F812,Mathematics disorder,FALSE
GOLD,F8181,Disorder of written expression,FALSE
GOLD,F8189,Other developmental disorders of scholastic skills,FALSE
GOLD,F819,"Developmental disorder of scholastic skills, unspecified",FALSE
GOLD,F82,Specific developmental disorder of motor function,FALSE
GOLD,F840,Autistic disorder,FALSE
GOLD,F842,Rett's syndrome,FALSE
GOLD,F843,Other childhood disintegrative disorder,FALSE
GOLD,F845,Asperger's syndrome,FALSE
GOLD,F848,Other pervasive developmental disorders,FALSE
GOLD,F849,"Pervasive developmental disorder, unspecified",FALSE
GOLD,F88,Other disorders of psychological development,FALSE
GOLD,F89,Unspecified disorder of psychological development,FALSE
GOLD,F900,"Attention-deficit hyperactivity disorder, predominantly inattentive type",FALSE
GOLD,F901,"Attention-deficit hyperactivity disorder, predominantly hyperactive type",FALSE
GOLD,F902,"Attention-deficit hyperactivity disorder, combined type",FALSE
GOLD,F908,"Attention-deficit hyperactivity disorder, other type",FALSE
GOLD,F909,"Attention-deficit hyperactivity disorder, unspecified type",FALSE
GOLD,F910,Conduct disorder confined to family context,FALSE
GOLD,F911,"Conduct disorder, childhood-onset type",FALSE
GOLD,F912,"Conduct disorder, adolescent-onset type",FALSE
GOLD,F913,Oppositional defiant disorder,FALSE
GOLD,F918,Other conduct disorders,FALSE
GOLD,F919,"Conduct disorder, unspecified",FALSE
GOLD,F930,Separation anxiety disorder of childhood,FALSE
GOLD,F938,Other childhood emotional disorders,FALSE
GOLD,F939,"Childhood emotional disorder, unspecified",FALSE
GOLD,F940,Selective mutism,FALSE
GOLD,F941,Reactive attachment disorder of childhood,FALSE
GOLD,F942,Disinhibited attachment disorder of childhood,FALSE
GOLD,F948,Other childhood disorders of social functioning,FALSE
GOLD,F949,"Childhood disorder of social functioning, unspecified",FALSE
GOLD,F950,Transient tic disorder,FALSE
GOLD,F951,Chronic motor or vocal tic disorder,FALSE
GOLD,F952,Tourette's disorder,FALSE
GOLD,F958,Other tic disorders,FALSE
GOLD,F959,"Tic disorder, unspecified",FALSE
GOLD,F980,Enuresis not due to a substance or known physiological condition,FALSE
GOLD,F981,Encopresis not due to a substance or known physiological condition,FALSE
GOLD,F9821,Rumination disorder of infancy,FALSE
GOLD,F9829,Other feeding disorders of infancy and early childhood,FALSE
GOLD,F983,Pica of infancy and childhood,FALSE
GOLD,F984,Stereotyped movement disorders,FALSE
